Test Iteration,Matching,Percentage
0,520,1.0
1,451,0.8673076923076923
2,389,0.7480769230769231
3,520,1.0
4,393,0.7557692307692307
5,451,0.8673076923076923
6,389,0.7480769230769231
7,393,0.7557692307692307
8,389,0.7480769230769231
9,520,1.0
10,393,0.7557692307692307
11,451,0.8673076923076923
12,389,0.7480769230769231
13,393,0.7557692307692307
14,389,0.7480769230769231
15,393,0.7557692307692307
16,389,0.7480769230769231
17,520,1.0
18,393,0.7557692307692307
19,451,0.8673076923076923
20,389,0.7480769230769231
21,393,0.7557692307692307
22,389,0.7480769230769231
23,393,0.7557692307692307
24,389,0.7480769230769231
25,393,0.7557692307692307
26,389,0.7480769230769231
27,520,1.0
28,520,1.0
29,520,1.0
30,451,0.8673076923076923
31,389,0.7480769230769231
32,520,1.0
33,393,0.7557692307692307
34,451,0.8673076923076923
35,389,0.7480769230769231
36,393,0.7557692307692307
37,389,0.7480769230769231
38,520,1.0
39,393,0.7557692307692307
40,451,0.8673076923076923
41,389,0.7480769230769231
42,393,0.7557692307692307
43,389,0.7480769230769231
44,393,0.7557692307692307
45,389,0.7480769230769231
46,520,1.0
47,393,0.7557692307692307
48,451,0.8673076923076923
49,389,0.7480769230769231
50,393,0.7557692307692307
51,389,0.7480769230769231
52,393,0.7557692307692307
53,389,0.7480769230769231
54,393,0.7557692307692307
55,389,0.7480769230769231
56,520,1.0
57,520,1.0
58,520,1.0
59,451,0.8673076923076923
60,389,0.7480769230769231
61,520,1.0
62,393,0.7557692307692307
63,451,0.8673076923076923
64,389,0.7480769230769231
65,393,0.7557692307692307
66,389,0.7480769230769231
67,520,1.0
68,393,0.7557692307692307
69,451,0.8673076923076923
70,389,0.7480769230769231
71,393,0.7557692307692307
72,389,0.7480769230769231
73,393,0.7557692307692307
74,389,0.7480769230769231
75,520,1.0
76,393,0.7557692307692307
77,451,0.8673076923076923
78,389,0.7480769230769231
79,393,0.7557692307692307
80,389,0.7480769230769231
81,393,0.7557692307692307
82,389,0.7480769230769231
83,393,0.7557692307692307
84,389,0.7480769230769231
85,520,1.0
86,520,1.0
87,520,1.0
88,451,0.8673076923076923
89,389,0.7480769230769231
90,520,1.0
91,393,0.7557692307692307
92,451,0.8673076923076923
93,389,0.7480769230769231
94,393,0.7557692307692307
95,389,0.7480769230769231
96,520,1.0
97,393,0.7557692307692307
98,451,0.8673076923076923
99,389,0.7480769230769231
100,393,0.7557692307692307
101,389,0.7480769230769231
102,393,0.7557692307692307
103,389,0.7480769230769231
104,520,1.0
105,393,0.7557692307692307
106,451,0.8673076923076923
107,389,0.7480769230769231
108,393,0.7557692307692307
109,389,0.7480769230769231
110,393,0.7557692307692307
111,389,0.7480769230769231
112,393,0.7557692307692307
113,389,0.7480769230769231
114,520,1.0
115,520,1.0
116,520,1.0
117,451,0.8673076923076923
118,389,0.7480769230769231
119,520,1.0
120,393,0.7557692307692307
121,451,0.8673076923076923
122,389,0.7480769230769231
123,393,0.7557692307692307
124,389,0.7480769230769231
125,520,1.0
126,393,0.7557692307692307
127,451,0.8673076923076923
128,389,0.7480769230769231
129,257,0.49423076923076925
130,274,0.5269230769230769
131,258,0.49615384615384617
132,273,0.525
133,258,0.49615384615384617
134,258,0.49615384615384617
135,254,0.48846153846153845
136,273,0.525
137,257,0.49423076923076925
138,273,0.525
139,258,0.49615384615384617
140,273,0.525
141,257,0.49423076923076925
142,254,0.48846153846153845
143,258,0.49615384615384617
144,273,0.525
145,254,0.48846153846153845
146,254,0.48846153846153845
147,265,0.5096153846153846
